ID,LoanApplicationID,AiDecision,Reasoning,CreatedAt
1,1,true,Credit score evaluation,2025-04-25T01:01:08+05:30
2,1,false,"CreditScore=707, DTI=0.13, Delinquent=false, LatePayments=10",2025-04-26T23:58:00+05:30
3,2,false,"CreditScore=707, DTI=0.13, Delinquent=true, LatePayments=10",2025-04-26T23:58:00+05:30
4,3,false,"CreditScore=707, DTI=0.67, Delinquent=false, LatePayments=10",2025-04-26T23:58:00+05:30
5,4,false,"CreditScore=707, DTI=0.67, Delinquent=false, LatePayments=10",2025-04-26T23:58:00+05:30
6,5,false,"CreditScore=0, DTI=0.57, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
7,6,false,"CreditScore=707, DTI=0.19, Delinquent=true, LatePayments=10",2025-04-26T23:58:00+05:30
8,7,false,"CreditScore=0, DTI=0.22, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
9,8,false,"CreditScore=805, DTI=0.10, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
10,9,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
11,10,false,"CreditScore=772, DTI=0.05, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
12,11,false,"CreditScore=631, DTI=0.08, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
13,12,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
14,13,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
15,14,false,"CreditScore=583, DTI=0.13, Delinquent=false, LatePayments=2",2025-04-26T23:58:00+05:30
16,15,false,"CreditScore=833, DTI=0.26, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
17,16,false,"CreditScore=744, DTI=0.76, Delinquent=false, LatePayments=2",2025-04-26T23:58:00+05:30
18,17,false,"CreditScore=729, DTI=0.50, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
19,18,false,"CreditScore=520, DTI=0.19, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
20,19,false,"CreditScore=531, DTI=0.22, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
21,20,false,"CreditScore=562, DTI=0.43, Delinquent=false, LatePayments=0",2025-04-26T23:58:00+05:30
22,21,false,"CreditScore=509, DTI=0.21, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
23,22,false,"CreditScore=844, DTI=0.21, Delinquent=false, LatePayments=3",2025-04-26T23:58:00+05:30
24,23,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
25,24,false,"CreditScore=532, DTI=0.43, Delinquent=false, LatePayments=1",2025-04-26T23:58:00+05:30
26,25,false,"CreditScore=515, DTI=0.25, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
27,26,false,"CreditScore=841, DTI=0.20, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
28,27,false,"CreditScore=612, DTI=0.12, Delinquent=false, LatePayments=1",2025-04-26T23:58:00+05:30
29,28,false,"CreditScore=837, DTI=0.47, Delinquent=false, LatePayments=3",2025-04-26T23:58:00+05:30
30,29,false,"CreditScore=611, DTI=0.24, Delinquent=false, LatePayments=1",2025-04-26T23:58:00+05:30
31,30,false,"CreditScore=596, DTI=0.34, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
32,31,false,"CreditScore=532, DTI=0.22, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
33,32,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
34,33,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
35,34,false,"CreditScore=812, DTI=0.17, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
36,35,false,"CreditScore=598, DTI=0.21, Delinquent=false, LatePayments=2",2025-04-26T23:58:00+05:30
37,36,false,"CreditScore=767, DTI=0.26, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
38,37,false,"CreditScore=777, DTI=0.33, Delinquent=false, LatePayments=3",2025-04-26T23:58:00+05:30
39,38,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
40,39,true,"Meets all criteria: High credit score, low DTI, good history",2025-04-26T23:58:00+05:30
41,40,false,"CreditScore=551, DTI=0.14, Delinquent=false, LatePayments=4",2025-04-26T23:58:00+05:30
42,41,false,"CreditScore=838, DTI=0.21, Delinquent=true, LatePayments=3",2025-04-26T23:58:00+05:30
43,42,false,"CreditScore=656, DTI=0.08, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
44,43,false,"CreditScore=635, DTI=0.24, Delinquent=true, LatePayments=3",2025-04-26T23:58:00+05:30
45,44,false,"CreditScore=736, DTI=0.35, Delinquent=true, LatePayments=5",2025-04-26T23:58:00+05:30
46,45,false,"CreditScore=510, DTI=0.12, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
47,46,false,"CreditScore=528, DTI=0.50, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
48,47,false,"CreditScore=598, DTI=0.10, Delinquent=true, LatePayments=3",2025-04-26T23:58:00+05:30
49,48,false,"CreditScore=567, DTI=0.15, Delinquent=true, LatePayments=0",2025-04-26T23:58:00+05:30
50,49,false,"CreditScore=580, DTI=0.32, Delinquent=false, LatePayments=2",2025-04-26T23:58:00+05:30
51,50,false,"CreditScore=572, DTI=0.70, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
52,51,false,"CreditScore=687, DTI=0.52, Delinquent=false, LatePayments=3",2025-04-26T23:58:00+05:30
53,52,false,"CreditScore=617, DTI=0.52, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
54,53,false,"CreditScore=770, DTI=0.32, Delinquent=false, LatePayments=2",2025-04-26T23:58:00+05:30
55,54,false,"CreditScore=771, DTI=0.06, Delinquent=false, LatePayments=3",2025-04-26T23:58:00+05:30
56,55,false,"CreditScore=548, DTI=0.30, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
57,56,false,"CreditScore=796, DTI=0.27, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
58,57,false,"CreditScore=741, DTI=0.18, Delinquent=true, LatePayments=1",2025-04-26T23:58:00+05:30
59,58,false,"CreditScore=818, DTI=0.40, Delinquent=false, LatePayments=3",2025-04-26T23:58:00+05:30
60,59,false,"CreditScore=757, DTI=0.13, Delinquent=true, LatePayments=2",2025-04-26T23:58:00+05:30
61,60,false,"CreditScore=649, DTI=0.43, Delinquent=false, LatePayments=2",2025-04-26T23:58:00+05:30
62,61,false,"CreditScore=787, DTI=0.18, Delinquent=true, LatePayments=4",2025-04-26T23:58:00+05:30
